Country Name,Code,income,education,GDP growth,GDP,gini,gni,educational expenditure,inflation,elderly,population density,undernourishment,unemployment
,,Adjusted net national income per capita (constant 2015 US$),"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",Gini index,"GNI, PPP (current international $)","Government expenditure on education, total (% of government expenditure)","Inflation, consumer prices (annual %)",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (national estimate)"
New Caledonia,NCL,..,..,..,..,..,..,..,..,9.426702034,14.84135667,6.8,10.88000011
New Zealand,NZL,34711.57968,..,0.57930066,45554.8094,..,2.21E+11,..,1.619631902,15.99395617,18.91003,2.5,4.110000134
Nicaragua,NIC,1727.349834,..,-4.955918716,5675.564316,..,35773935963,23.95000076,5.376289908,5.457992374,54.39174838,17.5,..
Niger,NER,528.0685045,..,1.997062626,1276.049385,..,31041675319,13.01280975,-2.489792651,2.596711426,18.40271493,..,..
Nigeria,NGA,1895.375862,..,-0.379752402,5352.241119,..,1.04E+12,5.854971886,11.39679497,2.743083338,220.6524183,12,10.69999981
North Macedonia,MKD,4553.956007,..,3.886552146,17546.41692,..,34757345293,..,0.766439573,14.08542237,82.34314036,3.1,17.26000023
Northern Mariana Islands,MNP,..,..,-11.64579119,..,..,..,..,..,..,124.376087,..,..
Norway,NOR,59346.51461,40.8385582,0.067992626,66799.16472,27.7,3.68E+11,..,2.167730033,17.27266592,14.6479975,2.5,3.690000057
Oman,OMN,10050.53836,..,-4.021127167,32604.34544,..,1.51E+11,12.42101955,0.133795057,2.448589805,16.07428756,8.8,..
Pakistan,PAK,1225.375578,4.14662981,0.444975728,5542.208851,..,1.18E+12,11.59167957,10.5783618,4.322407709,280.9325926,14.1,4.829999924
Palau,PLW,..,..,-2.386734826,17954.12383,..,344228788.3,15.65655231,0.267379679,..,39.1326087,..,..
Panama,PAN,12443.62795,26.7175808,1.292536242,32767.18697,49.8,1.30E+11,10.09027004,-0.355083821,8.313836605,57.24507954,5.4,6.409999847
Papua New Guinea,PNG,..,..,2.459006947,4473.77725,..,37606209092,..,3.928672909,3.509425418,19.37932032,21.9,..
Paraguay,PRY,5165.583194,..,-1.65407082,13147.96186,45.7,89886055111,11.94795036,2.757097276,6.620824696,17.73128366,8.2,6.590000153
Peru,PER,5658.666853,..,0.601543694,13401.00669,41.6,4.20E+11,17.76287079,2.252121914,8.39347886,25.39879844,8.1,3.380000114
Philippines,PHL,3558.62611,30.37619019,4.680376447,9290.966062,..,1.11E+12,17.48324013,2.392065344,5.31499622,362.6006037,5.5,2.24000001
Poland,POL,12741.90303,..,4.770539442,33797.76736,..,1.23E+12,11.99291134,2.227478809,18.11689725,124.0255954,2.5,3.279999971
Portugal,PRT,17329.86697,21.43581963,2.658392093,36172.07254,32.8,3.62E+11,..,0.33817841,22.35669072,112.2885828,2.5,6.460000038
Puerto Rico,PRI,..,..,1.474010583,36273.87183,..,78139350742,14.62930584,..,19.69708953,360.0556933,..,8.300000191
Qatar,QAT,..,..,-1.018205209,93844.06063,..,2.59E+11,8.636489868,-0.666641125,1.523163117,246.4813751,..,0.100000001
Romania,ROU,9560.215763,18.37228966,4.73858787,31867.26319,34.8,6.09E+11,..,3.827854326,18.79006579,84.19527121,2.5,3.910000086
Russian Federation,RUS,7631.936035,..,2.243979517,30067.74023,37.7,4.27E+12,..,4.470366608,15.09412523,8.817695994,2.5,4.5
Rwanda,RWA,709.6347055,..,6.643501213,2321.526953,..,28328696534,10.99814606,3.34787655,3.028253062,511.8337252,35.2,12.43000031
Samoa,WSM,..,..,3.868762579,6907.563708,..,1304199369,15.59646988,0.98232657,4.933104005,70.89676259,4.4,..
San Marino,SMR,..,..,1.824571786,63192.05517,..,..,15.05992031,..,..,564.4,..,5.800000191
Sao Tome and Principe,STP,..,..,0.302078271,4174.385425,..,894542883.6,17.59244919,..,2.960159214,224.0083333,13,..
Saudi Arabia,SAU,17431.51723,..,-1.322725826,48983.55126,..,1.70E+12,19.07130623,-2.093333333,3.4128866,15.94114919,3.9,5.639999866
Senegal,SEN,1209.160336,..,1.775988694,3510.418402,..,55714768018,18.31226921,1.758565176,3.098476445,84.64323482,7.4,2.859999895
Serbia,SRB,5308.852069,23.25346947,4.893094256,18822.36077,34.5,1.24E+11,8.604599953,1.849229845,18.74050342,79.41041619,3.7,10.39000034
Seychelles,SYC,..,..,2.176192931,30605.37964,..,2843092062,11.13055992,2.074764365,7.805481947,212.2282609,..,2.970000029
Sierra Leone,SLE,610.3044154,..,3.057634091,1777.158358,..,13710231815,35.00582886,14.80305857,2.947736623,108.2461485,27.9,..
Singapore,SGP,..,57.24990082,-0.054554857,102431.3157,..,5.11E+11,19.47426033,0.565260569,12.39312948,7965.878492,..,3.099999905
Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,1223.764706,..,..
Slovak Republic,SVK,14458.36835,25.23786926,2.466609371,31966.55484,23.2,1.71E+11,..,2.664561334,16.17236389,113.4389975,3.7,5.75
Slovenia,SVN,19292.28461,..,2.534090905,40670.87787,24.4,83650603107,..,1.630522608,20.18628401,103.7119346,2.5,4.449999809
Solomon Islands,SLB,2075.934398,..,-1.358803484,2772.800833,..,1837655332,30.06265259,1.63485544,3.63080993,23.93072526,17.8,..
Somalia,SOM,..,..,5.039205068,1236.524544,..,18990301263,4.262450218,..,2.889203812,24.61648548,54.8,18.82999992
South Africa,ZAF,5110.601947,44.85264969,-1.196091441,14288.58989,..,8.16E+11,19.59622955,4.12024587,5.415255608,48.27198889,6.3,25.54000092
South Sudan,SSD,..,..,..,..,..,..,..,87.24136415,3.376805137,17.50528381,..,..
Spain,ESP,23851.6309,..,1.355133045,41695.14695,34.3,1.97E+12,..,0.699518994,19.64782295,94.3508089,2.5,14.10000038
Sri Lanka,LKA,3817.306948,..,1.704605991,13631.5552,..,2.88E+11,9.899999619,3.528393582,10.83880576,352.4316946,3.7,4.670000076
St. Kitts and Nevis,KNA,..,..,4.018460899,29799.65241,..,1509704687,12.27999973,-0.329562064,..,203.2076923,..,..
St. Lucia,LCA,..,15.26706028,-0.558717237,15842.41865,..,2712497240,14.08432007,0.539087559,10.03501286,299.6639344,..,15.31999969
St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,760.04,..,..
St. Vincent and the Grenadines,VCT,..,..,0.056298357,14030.76555,..,1539050856,..,0.913069725,9.740570943,283.5717949,6.6,..
Sudan,SDN,1341.209961,..,-4.489841901,4349.709961,..,1.75E+11,..,50.9940515,3.627317326,22.91929176,11.7,..
Suriname,SUR,..,..,0.163586538,19840.18306,..,10341507020,15.27698994,..,7.015129728,3.726685897,8,..
Sweden,SWE,45565.16801,40.00310135,0.957561656,54598.78035,29.3,5.78E+11,..,1.784150974,20.19856962,25.23766548,2.5,6.829999924
